"Daily Minimum data	   supplied by UK-air on 12/04/2020",,,,
All Data GMT hour ending,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,
,Cardiff Centre,,Cardiff Newport Road,
Date,Nitrogen dioxide,Status,Nitrogen dioxide,Status
13/11/1995,21,V ugm-3,No data,null
14/11/1995,17,V ugm-3,No data,null
15/11/1995,11,V ugm-3,No data,null
16/11/1995,17,V ugm-3,No data,null
17/11/1995,29,V ugm-3,No data,null
18/11/1995,50,V ugm-3,No data,null
19/11/1995,42,V ugm-3,No data,null
20/11/1995,19,V ugm-3,No data,null
21/11/1995,15,V ugm-3,No data,null
22/11/1995,48,V ugm-3,No data,null
23/11/1995,No data,V ugm-3,No data,null
24/11/1995,No data,V ugm-3,No data,null
25/11/1995,No data,V ugm-3,No data,null
26/11/1995,11,V ugm-3,No data,null
27/11/1995,8,V ugm-3,No data,null
28/11/1995,11,V ugm-3,No data,null
29/11/1995,17,V ugm-3,No data,null
30/11/1995,19,V ugm-3,No data,null
01/12/1995,21,V ugm-3,No data,null
02/12/1995,34,V ugm-3,No data,null
03/12/1995,11,V ugm-3,No data,null
04/12/1995,8,V ugm-3,No data,null
05/12/1995,27,V ugm-3,No data,null
06/12/1995,No data,V ugm-3,No data,null
07/12/1995,No data,V ugm-3,No data,null
08/12/1995,No data,V ugm-3,No data,null
09/12/1995,No data,V ugm-3,No data,null
10/12/1995,No data,V ugm-3,No data,null
11/12/1995,No data,V ugm-3,No data,null
12/12/1995,No data,V ugm-3,No data,null
13/12/1995,No data,V ugm-3,No data,null
14/12/1995,No data,V ugm-3,No data,null
15/12/1995,No data,V ugm-3,No data,null
16/12/1995,25,V ugm-3,No data,null
